path,key,label,category,status,source_system,source_sheet,source_address,source_label,target_v15_sheet,target_v15_address,target_v15_label,notes
rent_roll,rr_legal,Legal / Eviction flag,rr_status,proposed,derived,,,,Rent Roll Analysis,G273+,Legal,"Template col G is a boolean used by Section C (legal/eviction cohort), Q5 legal count, and B113/D113 (units flagged + AR exposure). Derive from the '**' name prefix; the Eviction Status Report / bankruptcy disclosures in the DD checklist may refine. 9 active evictions + 1 bankruptcy known on Hidden Lakes."
rent_roll,rr_move_in,Move-In Date,rr_dates,mapped,mf_rr,Hidden Lakes,F,Move-In,Rent Roll Analysis,H273+,Move-In,Drives the Resident Tenure Cohort analysis (Section G uses TODAY()-H).
rent_roll,rr_lease_start,Lease Start,rr_dates,mapped,mf_rr,Hidden Lakes,G,Lease Start,Rent Roll Analysis,I273+,Lease Start,
rent_roll,rr_lease_end,Lease End,rr_dates,mapped,mf_rr,Hidden Lakes,H,Lease End,Rent Roll Analysis,J273+,Lease End,"Drives the Lease Expiration Schedule (Section E, 24-month forward buckets keyed on col J)."
rent_roll,rr_exp_move_out,Expected Move-Out,rr_dates,mapped,mf_rr,Hidden Lakes,I,Expected Move-Out,Rent Roll Analysis,K273+,Exp Move-Out,Notice-to-vacate / scheduled move-out. Mostly blank in the source unless a move-out is scheduled.
rent_roll,rr_market_rent,Market Rent,rr_rates,mapped,mf_rr,Hidden Lakes,J,Market Rent,Rent Roll Analysis,L273+,Mkt Rent,"Drives Market GPR (Section D B26), loss-to-lease, and vacancy loss."
rent_roll,rr_actual_charges,Actual Charges,rr_rates,mapped,mf_rr,Hidden Lakes,K,Actual Charges,Rent Roll Analysis,M273+,Actual Chgs,Total billed charges incl. ancillaries. Cross-check against Sched Chgs + the W-AK breakouts.
rent_roll,rr_scheduled_charges,Scheduled Charges,rr_rates,mapped,mf_rr,Hidden Lakes,L,Scheduled Charges,Rent Roll Analysis,N273+,Sched Chgs,Contractual base rent on occupied units. Drives Scheduled GPR (Section D B27) and avg-sched-per-unit metrics.
rent_roll,rr_balance,Balance (AR),rr_ar,mapped,mf_rr,Hidden Lakes,M,Balance,Rent Roll Analysis,O273+,Balance,"Total AR balance per unit. Drives N5 Total AR, the delinquency tiers (<500 / >=500), and Top-10 delinquent list. Also present (and should reconcile) in the AR doc col J."
rent_roll,rr_deposit,Deposit Held,rr_rates,mapped,mf_rr,Hidden Lakes,N,Deposit Held,Rent Roll Analysis,P273+,Deposit,Security deposit. Feeds Net Exposure (Balance - Deposit) on the Top-10 delinquent table.
rent_roll,rr_ar_0_30,AR Aging — 0-30 Days,rr_ar,gap_source,mf_ar,Hidden Lakes,E,0-30 Days,Rent Roll Analysis,Q273+,0-30 Days,Aging lives in a SEPARATE AR doc and must be joined to the RR grid on Bldg-Unit. Template note (A88) says 'paste from separate aging report into cols Q-T'. Requires the resident-key join the future mf_ar parser will own. The AR doc is dated Mar 2026 vs RR Apr 2026 — period-mismatch caveat.
rent_roll,rr_ar_31_60,AR Aging — 31-60 Days,rr_ar,gap_source,mf_ar,Hidden Lakes,F,31-60 Days,Rent Roll Analysis,R273+,31-60,See rr_ar_0_30 — same AR-join gap.
rent_roll,rr_ar_61_90,AR Aging — 61-90 Days,rr_ar,gap_source,mf_ar,Hidden Lakes,G,61-90 Days,Rent Roll Analysis,S273+,61-90,See rr_ar_0_30 — same AR-join gap.
rent_roll,rr_ar_90_plus,AR Aging — 90+ Days,rr_ar,gap_source,mf_ar,Hidden Lakes,H,90+ Days,Rent Roll Analysis,T273+,90+,See rr_ar_0_30 — same AR-join gap. Drives D94 aging-ties reconciliation: SUM(Q:T) must equal col-O Total AR.
rent_roll,rr_status_flag,Status Flag,rr_other,gap_source,gap,,,,Rent Roll Analysis,U273+,Status Flag,Column U semantics unconfirmed; not in the operator RR. Defer until the writer pass clarifies whether it is analyst-input or derived.
rent_roll,rr_notes,Notes,rr_other,proposed,mf_ar,Hidden Lakes,K,Last Delinquency Note (from AR doc) — or free-form RR notes,Rent Roll Analysis,V273+,Notes,Best source is the AR doc's 'Last Delinquency Note' (joined on Bldg-Unit). Optional / informational column.
rent_roll,rr_anc_mtm_fees,MTM Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code (redIQ Source Data),Rent Roll Analysis,W273+,MTM Fees,Per-unit other-income breakout mirroring _StdCOA. Not in the basic RR doc; only the Sortable-RR 'Source Data' charge-code grid carries per-fee detail. Future mf_ parser must map charge codes -> buckets.
rent_roll,rr_anc_application_fees,Application Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,X273+,Application Fees,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_late_fees,Late Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,Y273+,Late Fees,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_utility_reimbursement,Utility Reimbursement (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,Z273+,Utility Reimbursement,RUBS / utility billbacks. See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_pet_fees,Pet Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AA273+,Pet Fees,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_parking_income,Parking Income (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AB273+,Parking Income,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_amenity_fees,Amenity Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AC273+,Amenity Fees,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_admin_fees,Admin Fees (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AD273+,Admin Fees,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_insurance_passthru,Insurance Pass-Thru (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AE273+,Insurance Pass-Thru,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_misc_other_income,Misc Other Income (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AF273+,Misc Other Income,Catch-all other income. See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_storage,Storage / Common Bins (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AG273+,Storage / Common Bins,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_package_lockers,Package Service / Lockers (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AH273+,Package Service / Lockers,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_lease_lock_fee,Lease Lock Fee (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AI273+,Lease Lock Fee,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_valet_trash,Valet Trash (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AJ273+,Valet Trash,See rr_anc_mtm_fees — ancillary breakout gap.
rent_roll,rr_anc_lease_break_fee,Lease Break Fee (per unit),rr_ancillary,gap_source,mf_rr_sortable,Source Data,,Charge code,Rent Roll Analysis,AK273+,Lease Break Fee,See rr_anc_mtm_fees — ancillary breakout gap.
t12,t12_acct,Account #,t12_raw,mapped,mf_t12,Hidden Lakes,A,Account,T-12 Analysis,A106+,Acct #,PSI account number. Direct paste into Layer 1 col A. 101 GL lines on Hidden Lakes.
t12,t12_acct_name,Account Name (raw),t12_raw,mapped,mf_t12,Hidden Lakes,B,Account Name,T-12 Analysis,B106+,Account Name (raw),Raw PSI account name. Direct paste into Layer 1 col B.
t12,t12_monthly_block,12 monthly columns (Apr-25..Mar-26),t12_raw,mapped,mf_t12,Hidden Lakes,C:N,12 monthly columns Apr 2025 .. Mar 2026,T-12 Analysis,C106:N255,monthly block (12 cols),Direct 12-month paste block. Source period (Apr 2025-Mar 2026) aligns with the template's month headers. Layer 1 col O re-derives T-12 Total via =SUM(C:N); Layer 3 SUMIFS aggregate by bucket.
t12,t12_total,T-12 Total (per line),t12_derived,derived,derived,,,,T-12 Analysis,O106+,T-12 Total,Self-derives from the pasted monthly block. The operator T-12 has its own Total in col O; the template recomputes to stay internally consistent.
t12,t12_mapping,→ MAPPING (_StdCOA bucket per line),t12_mapping,gap_source,gap,,,,T-12 Analysis,P106+,→ MAPPING,"THE intelligence layer of the T-12 path — the MF equivalent of ALF's Description_Map. Every Layer-3 SUMIFS keys on this string. A future mf_t12 normalizer must classify each raw line into a _StdCOA bucket. Pre-filled example mappings exist on rows 106-185 for Hidden Lakes (analyst-authored), demonstrating the target vocabulary."
om,om_address,Location / Address,om_prop,mapped,mf_om,OM (PDF),address,Extracted from the Offering Memorandum (address),Prop Info,B5,Location / Address,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_num_buildings,# Buildings,om_prop,mapped,mf_om,OM (PDF),num_buildings,Extracted from the Offering Memorandum (num_buildings),Prop Info,B7,# Buildings,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_num_stories,Height (stories),om_prop,mapped,mf_om,OM (PDF),num_stories,Extracted from the Offering Memorandum (num_stories),Prop Info,B8,Height (stories),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_year_built,Year Built,om_prop,mapped,mf_om,OM (PDF),year_built,Extracted from the Offering Memorandum (year_built),Prop Info,B9,Year Built,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_lot_acres,Lot Size (acres),om_prop,mapped,mf_om,OM (PDF),lot_acres,Extracted from the Offering Memorandum (lot_acres),Prop Info,B10,Lot Size (acres),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_gross_sqft,Gross Sq Ft,om_prop,mapped,mf_om,OM (PDF),gross_sqft,Extracted from the Offering Memorandum (gross_sqft),Prop Info,B11,Gross Sq Ft,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_parking_spaces,Parking Spaces,om_prop,mapped,mf_om,OM (PDF),parking_spaces,Extracted from the Offering Memorandum (parking_spaces),Prop Info,B12,Parking Spaces,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_building_class,Building Class (A/B/C),om_prop,mapped,mf_om,OM (PDF),building_class,Extracted from the Offering Memorandum (building_class),Prop Info,B13,Building Class (A/B/C),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_amenity_tier,Amenity Tier,om_prop,mapped,mf_om,OM (PDF),amenity_tier,Extracted from the Offering Memorandum (amenity_tier),Prop Info,B14,Amenity Tier (Standard / Mid / Luxury),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_total_rentable_sf,Total Rentable SF,om_prop,mapped,mf_om,OM (PDF),total_rentable_sf,Extracted from the Offering Memorandum (total_rentable_sf),Prop Info,B15,Total Rentable SF,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_studio_units,Studio Units,om_prop,mapped,mf_om,OM (PDF),studio_units,Extracted from the Offering Memorandum (studio_units),Prop Info,B16,Studio Units,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_1br_units,1BR Units,om_prop,mapped,mf_om,OM (PDF),br1_units,Extracted from the Offering Memorandum (br1_units),Prop Info,B17,1BR Units,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_2br_units,2BR Units,om_prop,mapped,mf_om,OM (PDF),br2_units,Extracted from the Offering Memorandum (br2_units),Prop Info,B18,2BR Units,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_3br_units,3BR Units,om_prop,mapped,mf_om,OM (PDF),br3_units,Extracted from the Offering Memorandum (br3_units),Prop Info,B31,3BR Units,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_city_market,City / Market,om_market,mapped,mf_om,OM (PDF),city_market,Extracted from the Offering Memorandum (city_market),Prop Info,B20,City / Market,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_msa_name,MSA Name,om_market,mapped,mf_om,OM (PDF),msa_name,Extracted from the Offering Memorandum (msa_name),Prop Info,B21,MSA Name,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_msa_population,MSA Population,om_market,mapped,mf_om,OM (PDF),msa_population,Extracted from the Offering Memorandum (msa_population),Prop Info,B22,MSA Population,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_city_population,City Population,om_market,mapped,mf_om,OM (PDF),city_population,Extracted from the Offering Memorandum (city_population),Prop Info,B23,City Population,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_population_growth,Population Growth Rate,om_market,mapped,mf_om,OM (PDF),population_growth_rate,Extracted from the Offering Memorandum (population_growth_rate),Prop Info,B24,Population Growth Rate,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_avg_household_income,Avg Household Income,om_market,mapped,mf_om,OM (PDF),avg_household_income,Extracted from the Offering Memorandum (avg_household_income),Prop Info,B27,Avg Household Income,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_median_income,Median Income,om_market,mapped,mf_om,OM (PDF),median_income,Extracted from the Offering Memorandum (median_income),Prop Info,B28,Median Income,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_school_rating,School District Rating,om_market,mapped,mf_om,OM (PDF),school_rating,Extracted from the Offering Memorandum (school_rating),Prop Info,B29,School District Rating (1-10),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_blended_rent,Blended Avg Monthly Rent,om_market,mapped,mf_om,OM (PDF),(unit_mix weighted),Extracted from the Offering Memorandum ((unit_mix weighted)),Prop Info,B32,Blended Avg Monthly Rent,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_avg_unit_sf,Avg Unit SF,om_market,mapped,mf_om,OM (PDF),avg_unit_sf,Extracted from the Offering Memorandum (avg_unit_sf),Prop Info,B33,Avg Unit SF,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_market_vacancy,Market Vacancy Rate,om_market,mapped,mf_om,OM (PDF),market_vacancy_rate,Extracted from the Offering Memorandum (market_vacancy_rate),Prop Info,B34,Market Vacancy Rate,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_market_rent_growth,Market Rent Growth,om_market,mapped,mf_om,OM (PDF),market_rent_growth,Extracted from the Offering Memorandum (market_rent_growth),Prop Info,B35,Market Rent Growth (Annual),Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_new_supply,New Supply (Units U/C),om_market,mapped,mf_om,OM (PDF),new_supply_units,Extracted from the Offering Memorandum (new_supply_units),Prop Info,B36,New Supply — Units Under Construction,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_renter_pct,Renter Household %,om_market,mapped,mf_om,OM (PDF),renter_pct,Extracted from the Offering Memorandum (renter_pct),Prop Info,B37,Renter Household % of Population,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_electric_meter,Electric Meter,om_prop,mapped,mf_om,OM (PDF),electric_meter,Extracted from the Offering Memorandum (electric_meter),Prop Info,B39,Electric Meter,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_water_meter,Water Meter,om_prop,mapped,mf_om,OM (PDF),water_meter,Extracted from the Offering Memorandum (water_meter),Prop Info,B40,Water Meter,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_gas,Gas,om_prop,mapped,mf_om,OM (PDF),gas,Extracted from the Offering Memorandum (gas),Prop Info,B41,Gas,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_trash,Trash,om_prop,mapped,mf_om,OM (PDF),trash,Extracted from the Offering Memorandum (trash),Prop Info,B42,Trash,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_value_add_thesis,Value-Add Thesis,om_prop,mapped,mf_om,OM (PDF),value_add_thesis,Extracted from the Offering Memorandum (value_add_thesis),Prop Info,B47,Value-Add Thesis,Populated by mf_om_extractor (LLM engine) → mf_uw_model_writer._write_prop_info. Manual-input cell; OM fills it.
om,om_comp_distance,Comp Distance (mi),om_comp,mapped,mf_om,OM (PDF),distance_mi,Rent comparable distance_mi from the OM comp set,Rental Comps,Q8+,Comp Distance (mi),"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_name,Comp Property,om_comp,mapped,mf_om,OM (PDF),name,Rent comparable name from the OM comp set,Rental Comps,R8+,Comp Property,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_class,Comp Class (A/B/C),om_comp,mapped,mf_om,OM (PDF),building_class,Rent comparable building_class from the OM comp set,Rental Comps,S8+,Comp Class (A/B/C),"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_vintage,Comp Vintage,om_comp,mapped,mf_om,OM (PDF),year_built,Rent comparable year_built from the OM comp set,Rental Comps,T8+,Comp Vintage,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_units,Comp # Units,om_comp,mapped,mf_om,OM (PDF),units,Rent comparable units from the OM comp set,Rental Comps,U8+,Comp # Units,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_unit_type,Comp Unit Type,om_comp,mapped,mf_om,OM (PDF),unit_type,Rent comparable unit_type from the OM comp set,Rental Comps,V8+,Comp Unit Type,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_avg_sf,Comp Avg SF,om_comp,mapped,mf_om,OM (PDF),avg_sf,Rent comparable avg_sf from the OM comp set,Rental Comps,W8+,Comp Avg SF,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_asking_rent,Comp Asking Rent /mo,om_comp,mapped,mf_om,OM (PDF),asking_rent,Rent comparable asking_rent from the OM comp set,Rental Comps,X8+,Comp Asking Rent /mo,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_concession,Comp Concession (wks),om_comp,mapped,mf_om,OM (PDF),concession_weeks,Rent comparable concession_weeks from the OM comp set,Rental Comps,Y8+,Comp Concession (wks),"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_occupancy,Comp Occupancy %,om_comp,mapped,mf_om,OM (PDF),occupancy,Rent comparable occupancy from the OM comp set,Rental Comps,AB8+,Comp Occupancy %,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
om,om_comp_comment,Comp Comment,om_comp,mapped,mf_om,OM (PDF),comment,Rent comparable comment from the OM comp set,Rental Comps,AD8+,Comp Comment,"Row-stride: one comp per row 8–22 (15 max). Z/AA (eff-rent, $/SF) and the SUBJECT row 7 are template formulas, never written."
